T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
0.500	1.000000	0.000000	-32767.984375	0.006968	0.000030	0.000014	-0.000000	0.000000
0.607	0.999996	0.000001	-32767.707031	0.030469	0.000384	0.000041	0.000000	0.000000
0.715	0.999973	0.000002	-32766.251953	0.075009	0.001681	0.000086	0.000000	0.000000
0.822	0.999879	0.000004	-32760.119141	0.157266	0.005585	0.000189	0.000000	0.000000
0.929	0.999616	0.000008	-32743.189453	0.284370	0.014287	0.000437	0.000000	0.000000
1.037	0.999027	0.000012	-32705.765625	0.446650	0.028325	0.000846	0.000000	0.000000
1.144	0.997905	0.000019	-32635.341797	0.662955	0.051243	0.001506	0.000000	0.000000
1.251	0.996006	0.000027	-32518.693359	0.915666	0.081705	0.002328	0.000000	0.000000
1.359	0.992947	0.000037	-32336.595703	1.229663	0.124987	0.003575	0.000000	0.000000
1.466	0.988328	0.000051	-32070.236328	1.614096	0.184974	0.005263	0.000000	0.000000
1.573	0.981612	0.000066	-31699.869141	1.986496	0.243251	0.006934	0.000000	0.000000
1.681	0.972186	0.000088	-31204.117188	2.453292	0.325129	0.009250	0.000000	0.000000
1.788	0.958813	0.000117	-30549.457031	2.988245	0.426204	0.011799	0.000000	0.000000
1.895	0.939294	0.000165	-29690.589844	3.624479	0.558008	0.016264	0.000000	0.000000
2.003	0.910016	0.000242	-28561.808594	4.367493	0.725717	0.020028	0.000000	0.000000
2.110	0.862643	0.000399	-27058.884766	5.346069	0.979545	0.027417	0.000000	0.000000
2.114	0.859867	0.000409	-26997.859375	5.377580	0.987112	0.027557	0.000000	0.000000
2.119	0.859081	0.000396	-26944.968750	5.379740	0.983912	0.027656	0.000000	0.000000
2.123	0.856690	0.000402	-26873.109375	5.382036	0.980780	0.027582	0.000000	0.000000
2.127	0.850771	0.000476	-26776.654297	5.468073	1.008313	0.028751	0.000000	0.000000
2.131	0.848562	0.000460	-26706.265625	5.629776	1.064537	0.030851	0.000000	0.000000
2.136	0.847603	0.000427	-26645.601562	5.434271	0.987908	0.027343	0.000000	0.000000
2.140	0.845348	0.000462	-26582.826172	5.576735	1.036221	0.028936	0.000000	0.000000
2.144	0.841000	0.000490	-26480.333984	5.726035	1.088085	0.031322	0.000000	0.000000
2.149	0.836103	0.000549	-26389.617188	5.831893	1.124190	0.032553	0.000000	0.000000
2.153	0.832787	0.000547	-26321.867188	5.854966	1.128596	0.031632	0.000000	0.000000
2.157	0.827881	0.000606	-26214.515625	6.110683	1.224452	0.035046	0.000000	0.000000
2.161	0.825039	0.000680	-26160.205078	5.930684	1.148809	0.031025	0.000000	0.000000
2.166	0.821070	0.000743	-26082.281250	6.320318	1.299558	0.038533	0.000000	0.000000
2.170	0.813092	0.000714	-25927.134766	6.401778	1.328012	0.038675	0.000000	0.000000
2.174	0.816985	0.000641	-25914.011719	6.285911	1.275332	0.039417	0.000000	0.000000
2.179	0.806684	0.000695	-25772.384766	6.289241	1.271666	0.035225	0.000000	0.000000
2.183	0.807490	0.000606	-25735.691406	6.103889	1.193116	0.033984	0.000000	0.000000
2.187	0.806162	0.000722	-25673.500000	6.765011	1.459832	0.042286	0.000000	0.000000
2.191	0.799890	0.000689	-25556.570312	6.619745	1.392349	0.039039	0.000000	0.000000
2.196	0.788092	0.000872	-25411.609375	6.990096	1.546446	0.043833	0.000000	0.000000
2.200	0.784509	0.000816	-25323.330078	6.668804	1.402073	0.038808	0.000000	0.000000
2.204	0.779498	0.000825	-25232.833984	6.673532	1.398607	0.040091	0.000000	0.000000
2.209	0.778745	0.000822	-25157.550781	6.979782	1.523986	0.041527	0.000000	0.000000
2.213	0.767675	0.000974	-25013.287109	7.286977	1.654657	0.048037	0.000000	0.000000
2.217	0.759958	0.001056	-24939.792969	7.112020	1.570068	0.042661	0.000000	0.000000
2.221	0.759932	0.000856	-24851.535156	6.686491	1.382458	0.038576	0.000000	0.000000
2.226	0.749055	0.001036	-24730.828125	6.856929	1.448240	0.040149	0.000000	0.000000
2.230	0.737316	0.001084	-24565.861328	7.222544	1.600629	0.045589	0.000000	0.000000
2.234	0.731431	0.001122	-24478.183594	7.556497	1.745354	0.048352	0.000000	0.000000
2.239	0.690686	0.002608	-24256.255859	9.043047	2.490048	0.065295	0.000000	0.000000
2.243	0.704830	0.002067	-24240.291016	8.221700	2.050407	0.057746	0.000000	0.000000
2.247	0.699601	0.001524	-24097.734375	7.769690	1.824173	0.050828	0.000000	0.000000
2.251	0.671152	0.001796	-23900.937500	7.822144	1.841855	0.049980	0.000000	0.000000
2.256	0.698015	0.001123	-23927.363281	7.429950	1.655479	0.047084	0.000000	0.000000
2.260	0.637288	0.002670	-23627.669922	8.906869	2.370027	0.063146	0.000000	0.000000
2.264	0.628061	0.003686	-23527.849609	8.765786	2.286859	0.061873	0.000000	0.000000
2.269	0.625306	0.002058	-23413.537109	8.342942	2.063734	0.055612	0.000000	0.000000
2.273	0.505088	0.005616	-23110.382812	9.131248	2.462839	0.067852	0.000001	0.000000
2.277	0.468927	0.006410	-22979.437500	9.713019	2.776182	0.074927	0.000001	0.000000
2.281	0.007743	0.013748	-22586.509766	8.961963	2.354575	0.065635	0.000004	0.000000
2.286	0.310458	0.006024	-22443.083984	8.932631	2.330425	0.063295	0.000001	0.000000
2.290	0.327129	0.008030	-22427.716797	8.821741	2.264424	0.059249	0.000001	0.000000
2.294	0.372529	0.007300	-22356.265625	10.165851	2.995798	0.081255	0.000001	0.000000
2.299	0.237832	0.008892	-22148.259766	7.615512	1.674952	0.046115	0.000002	0.000000
2.303	0.236664	0.006674	-21962.386719	8.111065	1.892962	0.049118	0.000001	0.000000
2.307	0.310548	0.006759	-21978.707031	8.804695	2.222285	0.061071	0.000001	0.000000
2.311	0.362445	0.003434	-21847.160156	7.934167	1.797885	0.049351	0.000000	0.000000
2.316	0.017235	0.004320	-21422.984375	6.854722	1.336995	0.037679	0.000000	0.000000
2.320	0.278435	0.004792	-21563.935547	7.772868	1.712800	0.046908	0.000001	0.000000
2.324	0.045691	0.006918	-21238.148438	7.106087	1.426271	0.040502	0.000001	0.000000
2.329	0.080998	0.007822	-21284.861328	7.428813	1.553030	0.047271	0.000001	0.000000
2.333	0.025125	0.006546	-21109.355469	7.188109	1.448682	0.040952	0.000001	0.000000
2.337	0.045134	0.007196	-21095.156250	6.911270	1.334336	0.037243	0.000001	0.000000
2.341	0.058433	0.005153	-20921.005859	6.900142	1.325178	0.036955	0.000001	0.000000
2.346	0.029490	0.004154	-20768.402344	6.686684	1.239914	0.033910	0.000000	0.000000
2.350	0.073091	0.004944	-20728.662109	7.026528	1.364162	0.037121	0.000001	0.000000
2.354	0.027677	0.003862	-20647.853516	6.498232	1.162498	0.032892	0.000000	0.000000
2.359	0.051357	0.003895	-20577.896484	6.964695	1.330535	0.038804	0.000000	0.000000
2.363	0.038479	0.004588	-20454.626953	7.287758	1.451553	0.041167	0.000000	0.000000
2.367	0.044342	0.003626	-20389.806641	6.925709	1.306170	0.036713	0.000000	0.000000
2.371	0.010705	0.004576	-20272.615234	6.493343	1.144028	0.032965	0.000000	0.000000
2.376	0.013499	0.003426	-20207.000000	6.921799	1.295298	0.037849	0.000000	0.000000
2.380	0.043278	0.003294	-20052.689453	6.804207	1.247157	0.034642	0.000000	0.000000
2.384	0.001747	0.004248	-20053.845703	6.776963	1.232746	0.034402	0.000000	0.000000
2.389	0.030101	0.003094	-19990.724609	6.945124	1.290041	0.036811	0.000000	0.000000
2.393	0.002908	0.003526	-19873.216797	6.684468	1.190749	0.034611	0.000000	0.000000
2.397	0.004344	0.003961	-19804.955078	6.353970	1.072068	0.030457	0.000000	0.000000
2.401	0.028080	0.002696	-19695.824219	6.615926	1.158142	0.033129	0.000000	0.000000
2.406	0.026400	0.003230	-19616.214844	6.638031	1.161744	0.032457	0.000000	0.000000
2.410	0.004938	0.003336	-19522.664062	6.591348	1.141391	0.032660	0.000000	0.000000
2.524	0.002556	0.001900	-17784.750000	5.754126	0.793318	0.022108	0.000000	0.000000
2.637	0.003982	0.001412	-16427.339844	5.518310	0.668136	0.018541	0.000000	0.000000
2.751	0.003353	0.001261	-15306.725586	5.325401	0.571918	0.016812	0.000000	0.000000
2.864	0.000269	0.001079	-14350.094727	5.030397	0.470643	0.013769	0.000000	0.000000
2.978	0.000504	0.000905	-13536.317383	4.878452	0.409521	0.011751	0.000000	0.000000
3.091	0.000251	0.000834	-12821.877930	4.723037	0.356159	0.010291	0.000000	0.000000
3.205	0.000287	0.000765	-12191.351562	4.578525	0.311397	0.008822	0.000000	0.000000
3.319	0.000351	0.000741	-11604.272461	4.569969	0.289364	0.008200	0.000000	0.000000
3.432	0.000430	0.000693	-11102.589844	4.512597	0.263780	0.007432	0.000000	0.000000
3.546	0.001078	0.000652	-10635.809570	4.404980	0.235505	0.006632	0.000000	0.000000
3.659	0.000847	0.000622	-10205.700195	4.376433	0.218257	0.006152	0.000000	0.000000
3.773	0.000180	0.000588	-9820.664062	4.330189	0.200999	0.005608	0.000000	0.000000
3.886	0.000182	0.000575	-9462.239258	4.300903	0.186869	0.005355	0.000000	0.000000
4.000	0.000072	0.000564	-9126.098633	4.229059	0.170564	0.004828	0.000000	0.000000
