T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
0.500	1.000000	0.000000	-131071.945312	0.012760	0.000025	0.000006	-0.000000	0.000000
0.607	0.999996	0.000000	-131071.054688	0.054342	0.000305	0.000019	-0.000000	0.000000
0.715	0.999972	0.000001	-131064.609375	0.154480	0.001782	0.000062	-0.000000	0.000000
0.822	0.999877	0.000002	-131039.960938	0.324017	0.005927	0.000180	-0.000000	0.000000
0.929	0.999616	0.000004	-130972.734375	0.559225	0.013813	0.000398	0.000000	0.000000
1.037	0.999027	0.000006	-130822.929688	0.905542	0.029107	0.000831	0.000000	0.000000
1.144	0.997907	0.000009	-130542.289062	1.337445	0.052139	0.001484	0.000000	0.000000
1.251	0.995984	0.000013	-130070.585938	1.832456	0.081805	0.002321	0.000000	0.000000
1.359	0.992945	0.000018	-129345.070312	2.454358	0.124483	0.003514	0.000000	0.000000
1.466	0.988361	0.000025	-128286.593750	3.167053	0.178034	0.004958	0.000000	0.000000
1.573	0.981697	0.000033	-126814.296875	3.934273	0.238533	0.006795	0.000000	0.000000
1.681	0.972221	0.000044	-124828.648438	4.929661	0.328194	0.009451	0.000000	0.000000
1.788	0.958670	0.000059	-122186.960938	5.990582	0.428216	0.012402	0.000000	0.000000
1.895	0.939344	0.000084	-118757.601562	7.320892	0.569137	0.016092	0.000000	0.000000
2.003	0.910532	0.000120	-114275.789062	8.734627	0.725657	0.020180	0.000000	0.000000
2.110	0.862699	0.000194	-108274.593750	10.545582	0.952876	0.027171	0.000000	0.000000
2.114	0.860803	0.000202	-108028.023438	10.804855	0.996255	0.027998	0.000000	0.000000
2.119	0.858549	0.000218	-107758.960938	11.052854	1.038300	0.028898	0.000000	0.000000
2.123	0.856087	0.000217	-107480.054688	11.235545	1.068580	0.030611	0.000000	0.000000
2.127	0.851884	0.000256	-107137.031250	11.544739	1.123660	0.030766	0.000000	0.000000
2.131	0.849514	0.000228	-106834.265625	11.256618	1.063982	0.029955	0.000000	0.000000
2.136	0.845964	0.000251	-106521.937500	11.528118	1.111452	0.031587	0.000000	0.000000
2.140	0.844233	0.000233	-106278.789062	11.265518	1.057146	0.030836	0.000000	0.000000
2.144	0.840874	0.000251	-105966.484375	11.649857	1.125994	0.031595	0.000000	0.000000
2.149	0.837361	0.000246	-105605.265625	11.398702	1.073671	0.029664	0.000000	0.000000
2.153	0.833964	0.000252	-105301.109375	11.808490	1.147673	0.032904	0.000000	0.000000
2.157	0.829475	0.000264	-104941.593750	11.615718	1.106100	0.030625	0.000000	0.000000
2.161	0.825611	0.000294	-104602.429688	12.210217	1.217377	0.036195	0.000000	0.000000
2.166	0.820125	0.000345	-104236.945312	12.196988	1.209938	0.034355	0.000000	0.000000
2.170	0.817305	0.000326	-103926.148438	12.027244	1.171852	0.032783	0.000000	0.000000
2.174	0.814337	0.000413	-103600.546875	13.050579	1.374315	0.040545	0.000000	0.000000
2.179	0.808744	0.000346	-103198.890625	12.501478	1.256143	0.035165	0.000000	0.000000
2.183	0.805856	0.000339	-102888.125000	12.259653	1.203278	0.034732	0.000000	0.000000
2.187	0.802106	0.000348	-102540.468750	12.757648	1.297917	0.037299	0.000000	0.000000
2.191	0.796450	0.000378	-102169.257812	12.892818	1.320387	0.037484	0.000000	0.000000
2.196	0.782682	0.000670	-101618.906250	13.471068	1.435861	0.040916	0.000000	0.000000
2.200	0.785806	0.000388	-101362.851562	12.946463	1.321043	0.037400	0.000000	0.000000
2.204	0.779009	0.000459	-100932.000000	13.525870	1.436332	0.040077	0.000000	0.000000
2.209	0.772055	0.000459	-100535.593750	13.238193	1.370549	0.038500	0.000000	0.000000
