T	M_avg	M_err	E_avg	E_err	Cv	Cv_err
1.000	0.999279	0.000078	-7405.000000	1.000000	0.023969	0.000493
1.151	0.997805	0.000134	-7384.000000	1.000000	0.050203	0.001025
1.303	0.994687	0.000226	-7341.000000	3.000000	0.101775	0.002061
1.454	0.988936	0.000350	-7265.000000	4.000000	0.175293	0.003534
1.606	0.979146	0.000513	-7143.000000	5.000000	0.253866	0.005034
1.757	0.963111	0.000774	-6960.000000	7.000000	0.395203	0.007927
1.909	0.936402	0.001246	-6691.000000	10.000000	0.586363	0.011619
2.060	0.888178	0.002207	-6295.000000	13.000000	0.816753	0.015967
2.071	0.883366	0.002274	-6260.000000	13.000000	0.847539	0.017446
2.083	0.877651	0.002442	-6221.000000	14.000000	0.909841	0.017670
2.094	0.871775	0.002578	-6183.000000	14.000000	0.915790	0.018248
2.106	0.865315	0.002894	-6141.000000	15.000000	0.974979	0.020096
2.117	0.858573	0.003260	-6099.000000	15.000000	1.014148	0.020293
2.129	0.851979	0.003033	-6057.000000	14.000000	0.943323	0.018856
2.140	0.843712	0.003658	-6011.000000	16.000000	1.117014	0.023025
2.151	0.834476	0.004092	-5962.000000	16.000000	1.118007	0.021764
2.163	0.825337	0.004243	-5913.000000	16.000000	1.156046	0.022337
2.174	0.814387	0.004697	-5861.000000	17.000000	1.265791	0.025890
2.186	0.801409	0.005995	-5804.000000	18.000000	1.397292	0.028006
2.197	0.789488	0.005510	-5750.000000	18.000000	1.413818	0.026852
2.209	0.773179	0.005976	-5689.000000	18.000000	1.289428	0.026210
2.220	0.758512	0.007424	-5629.000000	19.000000	1.508870	0.029807
2.231	0.730026	0.010066	-5553.000000	20.000000	1.613811	0.031647
2.243	0.670390	0.012500	-5461.000000	22.000000	1.899779	0.037929
2.254	0.651769	0.014321	-5394.000000	22.000000	1.856355	0.035987
2.266	0.608565	0.015198	-5302.000000	22.000000	1.858121	0.037318
2.277	0.299532	0.026411	-5154.000000	22.000000	1.853317	0.038760
2.289	0.097295	0.052244	-5074.000000	20.000000	1.553763	0.033238
2.300	0.042833	0.023509	-4987.000000	21.000000	1.648564	0.032576
2.311	0.074555	0.056182	-4903.000000	21.000000	1.701141	0.031711
2.323	0.044303	0.025664	-4838.000000	20.000000	1.556640	0.032739
2.334	0.027184	0.019557	-4776.000000	19.000000	1.340852	0.025772
2.346	0.028571	0.025376	-4711.000000	19.000000	1.276935	0.025824
2.357	0.032555	0.024893	-4655.000000	18.000000	1.203280	0.022696
2.369	0.027475	0.019207	-4603.000000	19.000000	1.298988	0.025847
2.380	0.024743	0.018267	-4550.000000	17.000000	1.081722	0.021383
2.391	0.024907	0.015942	-4503.000000	17.000000	1.004743	0.019797
2.403	0.013145	0.010048	-4452.000000	17.000000	0.969863	0.021060
2.414	0.017753	0.012236	-4404.000000	18.000000	1.131207	0.023252
2.426	0.014761	0.011971	-4362.000000	17.000000	0.977088	0.019089
2.437	0.021263	0.015038	-4317.000000	17.000000	0.993467	0.020357
2.449	0.017625	0.013164	-4276.000000	17.000000	0.928803	0.018659
2.460	0.014747	0.011009	-4236.000000	16.000000	0.900712	0.017722
2.680	0.008136	0.005782	-3617.000000	14.000000	0.594509	0.011768
2.900	0.005485	0.004478	-3188.000000	13.000000	0.441075	0.008549
3.120	0.004914	0.003715	-2863.000000	13.000000	0.354084	0.007035
3.340	0.004304	0.003245	-2605.000000	12.000000	0.275753	0.005592
3.560	0.003784	0.002851	-2394.000000	12.000000	0.238892	0.004669
3.780	0.003529	0.002635	-2217.000000	12.000000	0.200448	0.004096
4.000	0.003285	0.002500	-2066.000000	11.000000	0.166692	0.003323
